DateTime;Users;In-Game;;
15/03/2021 00:00;25275855;5998021;;
14/03/2021 00:00;26357866;7218117;;
13/03/2021 00:00;26146364;7309549;;
12/03/2021 00:00;25510459;6489187;;
11/03/2021 00:00;24912223;6002949;;
10/03/2021 00:00;25155794;5942435;;
09/03/2021 00:00;25267481;5924385;;
08/03/2021 00:00;25630407;6142075;;
07/03/2021 00:00;26117290;7153865;;
06/03/2021 00:00;26142235;7200263;;
05/03/2021 00:00;25783270;6460061;;
04/03/2021 00:00;25226331;5916271;;
03/03/2021 00:00;25095517;5879085;;
02/03/2021 00:00;25177698;5871260;;
01/03/2021 00:00;25490876;5989204;;
28/02/2021 00:00;26133648;7146865;;
27/02/2021 00:00;26033633;7194725;;
26/02/2021 00:00;25780516;6395576;;
25/02/2021 00:00;25467281;6111520;;
24/02/2021 00:00;25355166;6130554;;
23/02/2021 00:00;25784258;6364021;;
22/02/2021 00:00;25987035;6447992;;
21/02/2021 00:00;25984665;7313203;;
20/02/2021 00:00;25862791;7310261;;
19/02/2021 00:00;25760318;6695223;;
18/02/2021 00:00;25481140;6476010;;
17/02/2021 00:00;25169379;6487480;;
16/02/2021 00:00;24746084;6598895;;
15/02/2021 00:00;24531924;6690733;;
14/02/2021 00:00;24962864;7444976;;
13/02/2021 00:00;24996112;7366379;;
12/02/2021 00:00;24415244;6317495;;
11/02/2021 00:00;24801120;6230966;;
10/02/2021 00:00;24976889;6319442;;
09/02/2021 00:00;25600879;6287186;;
08/02/2021 00:00;25615516;6204725;;
07/02/2021 00:00;26401443;7360553;;
06/02/2021 00:00;25637585;7114616;;
05/02/2021 00:00;25674349;6383038;;
04/02/2021 00:00;25248221;6055904;;
03/02/2021 00:00;25121914;6033545;;
02/02/2021 00:00;24637293;6081487;;
01/02/2021 00:00;24577561;6084253;;
31/01/2021 00:00;25294003;7166479;;
30/01/2021 00:00;25035648;7131091;;
29/01/2021 00:00;24787213;6345047;;
28/01/2021 00:00;24442877;5963489;;
27/01/2021 00:00;24366500;5943688;;
26/01/2021 00:00;24340903;5884969;;
25/01/2021 00:00;24394904;5913393;;
24/01/2021 00:00;25136128;7062357;;
23/01/2021 00:00;24909362;7032976;;
22/01/2021 00:00;24498044;6266468;;
21/01/2021 00:00;24060995;5736286;;
20/01/2021 00:00;24258790;5874395;;
19/01/2021 00:00;24190509;5768678;;
18/01/2021 00:00;23695753;5937324;;
17/01/2021 00:00;24818236;6964322;;
16/01/2021 00:00;24663629;6943593;;
15/01/2021 00:00;24113046;6068009;;
14/01/2021 00:00;23636256;5741004;;
13/01/2021 00:00;23850535;5777373;;
12/01/2021 00:00;24577655;5795877;;
11/01/2021 00:00;24540639;5802448;;
10/01/2021 00:00;25410913;6993948;;
09/01/2021 00:00;25425816;7080240;;
08/01/2021 00:00;25221068;6538929;;
07/01/2021 00:00;24770695;6253448;;
06/01/2021 00:00;25172548;6493243;;
05/01/2021 00:00;25267453;6463121;;
04/01/2021 00:00;24995921;6432999;;
03/01/2021 00:00;25418674;7289467;;
02/01/2021 00:00;25415080;7413419;;
01/01/2021 00:00;24202280;6994655;;
31/12/2020 00:00;24158590;6535391;;
30/12/2020 00:00;24476932;6715839;;
29/12/2020 00:00;24605097;6773703;;
28/12/2020 00:00;24532504;6781870;;
27/12/2020 00:00;24597197;7048850;;
26/12/2020 00:00;24651866;7170724;;
25/12/2020 00:00;22994024;6399888;;
24/12/2020 00:00;23348782;6157664;;
23/12/2020 00:00;23771212;6101411;;
22/12/2020 00:00;23286882;5950539;;
21/12/2020 00:00;23662316;6018258;;
20/12/2020 00:00;24425638;6766446;;
19/12/2020 00:00;24425373;6898876;;
18/12/2020 00:00;24243627;6276229;;
17/12/2020 00:00;23644503;5837292;;
16/12/2020 00:00;23735111;5882848;;
15/12/2020 00:00;23586658;5795528;;
14/12/2020 00:00;23536055;5895148;;
13/12/2020 00:00;24804148;7082384;;
12/12/2020 00:00;24776635;7124310;;Só um exemplo 
11/12/2020 00:00;23917204;6265558;;
10/12/2020 00:00;23700159;5987326;;
09/12/2020 00:00;23395000;5345067;;
08/12/2020 00:00;23327364;5488801;;
07/12/2020 00:00;23549090;5506155;;
06/12/2020 00:00;24453061;6607217;;
05/12/2020 00:00;24458853;6723564;;
04/12/2020 00:00;24034994;6037773;;
